Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3cvr7I6DJxIq3GL4UAU8p4,"Howling - Andromedik Remix","Howling (Andromedik Remix)","Cartoon;Jéja;Andromedik;Asena",2020-05-21,220489,27,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"drum and bass,liquid funk","NCS",0.45,0.801,0,-4.261,1,0.034,0.000501,0.000195,0.295,0.0951,173.968,4
spotify:track:5QWAWsWcO5bwdxWlzKtOAC,"Bones","Bones","Clarx",2019-02-21,181101,21,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"future house","NCS",0.636,0.986,7,-4.387,1,0.0489,0.00125,0.894,0.541,0.349,118.003,4
spotify:track:5f4zXdIiSBLQXIaAx9xV9T,"Skyline","Skyline","Kovan;Electro-Light",2017-05-27,230000,19,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"","NCS",0.581,0.925,5,-5.742,0,0.0374,0.0773,0.0509,0.196,0.222,128.004,4
spotify:track:6xiPmbt8jBaJBLRbSUfJVR,"Memes","Memes","NIVIRO",2018-05-02,176250,20,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"big room","NCS",0.628,0.945,2,-4.126,1,0.0767,0.00343,0.00888,0.35,0.263,127.943,4
spotify:track:4c6Tv9hOtTqWv13OzRDMPi,"Humanity","Humanity","Max Brhon",2019-06-26,197960,22,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"","NCS",0.669,0.864,0,-3.611,1,0.0536,0.0742,0.667,0.0803,0.307,110.042,3
spotify:track:0vWNYtuoZGZ4a3uZwQKCGm,"Imaginary Friends","Imaginary Friends","Laszlo",2013-12-26,380708,14,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"","NCS",0.531,0.843,0,-7.311,1,0.0382,0.000809,0.128,0.149,0.122,127.004,4
spotify:track:62VvdW6iP3qYLBs3A7s3Fe,"Stars","Stars","Diamond Eyes",2019-05-01,228413,24,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"","NCS",0.462,0.814,7,-4.087,0,0.0339,0.00417,0.00041,0.0957,0.32,145.009,4
spotify:track:3LD2WUzgclQrMW0xgg4NSR,"Dino","Dino","Mountkid",2018-05-25,188663,18,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"","NCS",0.644,0.907,7,-3.602,0,0.04,0.0163,0.902,0.222,0.245,93.499,4
spotify:track:1Nr2MV6hF4zdI98RLESoE0,"Adventures","NCS: Infinity","Alexa Lusader;William Ekh",2015-07-31,208139,15,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"dubstep,riddim","NCS",0.496,0.59,0,-7.201,1,0.0413,0.116,0.0000122,0.473,0.15,128.054,4
spotify:track:0H7JHndcZJ2SFGx03pUnwp,"Never Have I Felt This","Never Have I Felt This","Koven",2018-12-04,246382,21,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"drum and bass,liquid funk,drumstep,chillstep","NCS",0.483,0.863,1,-3.941,1,0.0588,0.000309,0.0495,0.331,0.302,94.006,4
spotify:track:20f06VeRkb2nqOwuV3eYik,"Paralyzed","Paralyzed","DM Galaxy;Tyler Fiore",2014-02-25,229776,15,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"chillstep,dubstep","NCS",0.539,0.871,9,-4.263,1,0.0549,0.0027,0.00338,0.16,0.144,140.015,4
spotify:track:298v24B9yGbDw1Qyeik5oW,"Eclipse","Eclipse","Last Heroes;AERYN;TwoWorldsApart",2018-10-10,277714,14,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"melodic bass,future bass,chillstep,edm,future house","NCS",0.202,0.553,6,-7.386,0,0.0437,0.098,0.000114,0.101,0.172,139.384,4
spotify:track:4xUjRYmTITyyrPSeU8ELfd,"Get Up Again","Get Up Again","Alex Skrindo;Axol",2016-07-09,226879,10,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"","NCS",0.489,0.85,2,-4.211,0,0.0497,0.00207,0,0.693,0.138,127.9,4
spotify:track:08FOaXXRS6ZSLQLsFPNRaZ,"Sky High pt.II","Sky High pt.II","Elektronomia",2021-01-01,247569,20,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"","NCS",0.535,0.898,0,-3.693,0,0.0379,0.0511,0.00338,0.204,0.124,128,4
spotify:track:3j6s1vr84KzKlpF0QfHzDy,"Army","Army","Besomorph;Arcando;Neoni",2020-04-16,203500,33,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"slap house,drum and bass","NCS",0.523,0.699,6,-3.84,0,0.0293,0.108,0.000607,0.205,0.132,74.983,4
spotify:track:7N267HKpnzJzqToo5KcaoF,"Redemption","Redemption","Coopex;Besomorph;RIELL",2019-05-24,157500,34,false,31t24nkiduevadb6wl7j25kefjme,2026-04-09T13:27:26Z,"slap house","NCS",0.644,0.635,7,-6.041,0,0.0453,0.0646,0.0000133,0.251,0.29,79.962,4
